Keyword,Question,Answer,sourcelink,linktext
September 2021 Calendar,What are upcoming special days?,"India celebrates Engineer's Day to commemorate the birth anniversary of the greatest Indian Engineer, Mokshagundam Visvesvaraya, on September 15 every year. Engineer's Day is celebrated to pay rich tributes to Bharat Ratna Visvesvaraya who was regarded as the 'Father of Modern Mysore'.",https://www.careerpower.in/important-days.html,List of Important Days and Dates 2022 (National/International)
September 2021 Calendar,What are the most important dates in history?,"This Day in History: September 27

On this day in 1066, after being delayed by bad weather, William, duke of Normandy, embarked his army and set sail for the southeastern coast of England in what would be known in history as the Norman Conquest.",https://www.quia.com/jg/102097list.html,Famous Dates in History - Quia
September 2021 Calendar,What is celebrated on 14 September?,"Here are some of the notable people celebrating birthdays today, including Ben Platt, Harriet Walter, Holly Knight, Joe Greene, Nia Vardalos, Spencer Treat Clark and more.",https://en.wikipedia.org/wiki/Hindi_Day,Hindi Day - Wikipedia
September 2021 Calendar,What is celebrated September 11?,World Contraception Day is observed on 26 September annually. It is a global campaign to improve awareness about the contraceptive methods available and enable young people to make informed decisions regarding their sexual and reproductive health.,https://www.britannica.com/topic/Patriot-Day,Patriot Day | United States holiday - Encyclopedia Britannica
September 2021 Calendar,How many holidays are in September 2021?,"The National Library of the Philippines joins the entire nation in commemorating the 158th birth anniversary of Gat Andres Bonifacio, the Father of Philippine Revolution and one of the founders of Katipunan.",https://www.thequint.com/news/business/bank-holidays-in-september-2021-check-the-complete-full-list-of-holidays-here,Bank Holidays in September 2021: Check the Complete ...
September 2021 Calendar,What is celebrated on 21st September?,Defence Day is not a public holiday.,https://nationaltoday.com/international-day-of-peace/,"INTERNATIONAL DAY OF PEACE - September 21, 2022 - ..."
September 2021 Calendar,What is celebrated on 23 September?,"MANILA (UPDATED) - President Rodrigo Duterte clarified Monday that September 21, the 45th anniversary of the declaration of the Marcos-era martial law, will not be a holiday in the Philippines. ""September 21 is not a holiday, I have declared it a day of protest.",https://nationaldaycalendar.com/celebrate-bi-sexuality-day-september-23/,CELEBRATE BISEXUALITY DAY - September 23 - National ...
September 2021 Calendar,What is celebrated on 9th September?,365 Special Days of the Year - The Fact Site.,https://nationaltoday.com/september-9-holidays/,September 9 Holidays & National Days | 2022 Calendar
September 2021 Calendar,What is special about 22 September?,"World Environment Day – June 5, 2022

World Environment Day is a day to raise ...",https://www.britannica.com/on-this-day/September-22,On This Day - What Happened on September 22 - ...
September 2021 Calendar,What is celebrated on 15th September?,"While every month besides the second in the calendar contains at least 30 days, February falls short with 28 (and 29 on a leap year).",https://www.indiatoday.in/information/story/engineers-day-2021-heres-why-september-15-is-celebrated-as-engineers-day-in-india-1852687-2021-09-14,Engineer's Day 2021: Here's why September 15 is ... - India ...
September 2021 Calendar,What is September 27th special?,"Dates are important, as they note when certain events happened. This is very important because history is recorded chronologically. It helps to know that one event happened before another event so that one can examine the relationship between events. Dates also serve to mark periods in history.",https://www.britannica.com/on-this-day/September-27,On This Day - What Happened on September 27 - ...
September 2021 Calendar,What events happened in October 2021?,"The Independence Day of India, which is celebrated religiously throughout the Country on the 15th of August every year, holds tremendous ground in the list of national days, since it reminds every Indian about the dawn of a new beginning, the beginning of an era of deliverance from the clutches of British colonialism ...",https://www.infoplease.com/current-events/2021/october-world-news,October 2021 Current Events: World News - Infoplease
September 2021 Calendar,What events happened in September 2020?,"July 4, 1776 is the greatest day in human history. On this day, 243 years ago, 56 brave souls pledged their “lives,” their “fortunes,” and their “sacred honor” to one another.",https://en.wikipedia.org/wiki/Category:September_2020_events_in_the_United_States,Category:September 2020 events in the United States - ...
September 2021 Calendar,What major events happened in November 2021?,"June 6, 1944, The Most Important Date In History.",https://en.wikipedia.org/wiki/Portal:Current_events/November_2021,Portal:Current events/November 2021 - Wikipedia
September 2021 Calendar,What's September known for?,"There were the obvious major moments, like World War I and World War II. If Franz Ferdinand didn't get assassinated in 1914 or if Hitler didn't invade Poland in 1939, would the world have ever seen war? Then there were individuals who took matters in their own hands, like Hedy Lamarr and Martin Luther King Jr.",https://www.liveabout.com/september-fun-facts-3456089,"September: Fun Facts, Holidays, Historical Events, and More"
September 2021 Calendar,Who was born on Sept 24?,"On September 18 we celebrate National First Love Day. This day specifically reflects the first butterflies-in-the-stomach feeling, the first date, and that first spark with a romantic partner.",https://helenair.com/news/archives/celebrity-birthdays-sept-24/collection_5312951d-a522-5ab9-a0ed-e21a7ff4a55c.html,Celebrity Birthdays: Sept. 24 | Archives | helenair.com
September 2021 Calendar,What is September 26th celebration?,"This Day in History: September 10

Having survived capture by Indians (reputedly through the efforts of Pocahontas, a chief's daughter), John Smith became president of Jamestown colony, the first permanent English settlement in North America, this day in 1608.",https://www.jagranjosh.com/general-knowledge/important-days-and-dates-in-september-1566815988-1,Important Days in September 2021: National and ...
September 2021 Calendar,Why is Nov 30 Bonifacio Day?,September 13th is International Chocolate Day!,http://web.nlp.gov.ph/nlp/?q=node/10653,November 30 is Andres Bonifacio Day | National Library of ...
September 2021 Calendar,Is 6 September a public holiday?,"In the United States, Patriot Day occurs on September 11 of each year in memory of the people killed in the September 11 attacks of the year 2001.",https://www.timeanddate.com/holidays/pakistan/defence-day,Defence Day in Pakistan - Time and Date
September 2021 Calendar,Is September 21 2021 a holiday in the Philippines?,National Day of Encouragement is observed annually on September 12. This day is dedicated to uplifting people around us and making a positive impact.,https://news.abs-cbn.com/news/09/18/17/duterte-sept-21-not-a-holiday-but,Duterte: Sept 21 not a holiday but... - ABS-CBN News
September 2021 Calendar,What are some special days?,"9 September 2021 India Holidays & Popular Observances

There are no major holidays or observances in India for this date.",https://www.educationworld.com/holidays/,Holidays & Special Days | Education World
September 2021 Calendar,How many special days are there?,"September 28, 2021 - NATIONAL GOOD NEIGHBOR DAY – NATIONAL DRINK BEER DAY – NATIONAL STRAWBERRY CREAM PIE DAY – NATIONAL VOTER REGISTRATION DAY – NATIONAL NORTH CAROLINA DAY.",https://www.thefactsite.com/tag/days-of-the-year/,365 Special Days of the Year - The Fact Site
September 2021 Calendar,What is today special day in world?,"4. Stephen King. Stephen Edwin King was born on September 21, 1947, at the Maine General Hospital in Portland.",https://happydays365.org/what-day-is-today/,What Day is Today | International Day | Special days - ...
September 2021 Calendar,What month has less days?,"2022 Theme: End racism. Build peace. Each year the International Day of Peace is observed around the world on 21 September. The UN General Assembly has declared this as a day devoted to strengthening the ideals of peace, through observing 24 hours of non-violence and cease-fire.",https://www.britannica.com/story/why-are-there-only-28-days-in-february,Why Are There Only 28 Days in February? | Britannica
September 2021 Calendar,How important are the dates?,2021 Theme: “The road to a lasting peace: Leveraging the power of youth for peace and security” | United Nations Peacekeeping.,https://www.toppr.com/ask/content/concept/importance-of-dates-216491/,"Importance of Dates | Definition, Examples, Diagrams - Toppr"
September 2021 Calendar,Which is the National Day of India?,"On September 22nd, National Centenarian's Day honors those who've celebrated 100 birthdays or more.",https://knowindia.india.gov.in/independence-day-celebration/,Independence Day Celebration 2021 - Know India
September 2021 Calendar,What is the greatest Day in human history?,SEPTEMBER: The name for this month comes from the Roman word for “seventh” – septimus – as it was the seventh month of the Roman year. OCTOBER: The name for this month comes from the Roman word for “eighth” - octavus - as it was the eighth month of the Roman year.,https://cacorey.medium.com/the-greatest-day-in-history-1bc2fa976562,The Greatest Day In History - Corey Uhden - Medium
September 2021 Calendar,What is the most remembered date?,Then National Burnt Ends Day on September 1st is your BBQ celebration!,https://kxrb.com/the-most-important-day-of-the-20th-century-june-6-1944/,"June 6, 1944, The Most Important Date In History - KXRB"
September 2021 Calendar,What event changed the world?,"The diplomatic efforts of India succeeded in shutting off the supply of weaponry to Hyderabad, resulting in the surrender on September 17, 1948. More than a year after India gained independence, Hyderabad became a part of the country.",https://www.itsrosy.com/Remember+These+Major+Events+That+Changed+The+World,A Look Back At The Major Events That Changed Our World ...
September 2021 Calendar,What is special about September 18th?,"U.S. Celebrated on September 17, Constitution Day, also known as Constitution and Citizenship Day, honors the document that guarantees Americans their essential rights. Since its ratification in 1787, the Constitution of the United States has served as the basis for all U.S. laws.",https://nationaltoday.com/national-first-love-day/,"NATIONAL FIRST LOVE DAY - September 18, 2022 - ..."
September 2021 Calendar,What does September 20th celebrate?,"In 1994, the General Assembly proclaimed 16 September as the International Day for the Preservation of the Ozone Layer, commemorating the date in 1987 on which the Montreal Protocol on Substances that Deplete the Ozone Layer was signed.",https://nationaltoday.com/national-punch-day/,"NATIONAL PUNCH DAY - September 20, 2022"
September 2021 Calendar,What is special about September 10th?,1778 – The Continental Congress passes the first United States federal budget. 1796 – George Washington's Farewell Address is printed across America as an open letter to the public. 1799 – French Revolutionary Wars: French-Dutch victory against the Russians and British in the Battle of Bergen.,https://www.britannica.com/on-this-day/September-10,On This Day - What Happened on September 10 - ...
September 2021 Calendar,What is September 13th celebration?,"This Day in History: September 30

The notorious Munich Agreement, in which Britain's Neville Chamberlain encouraged Britain and France to appease Adolf Hitler's demands in the hope of preventing World War II, was reached on this day in 1938.",http://www.holidays-and-observances.com/september-13.html,"September 13 Holidays and Observances, Events, History, ..."
