Keyword,Question,Answer,sourcelink,linktext
can orcas live in freshwater,What eats an orca?,"Orcas are apex predators, which means they're at the very top of the food chain and they have no predators. Killer whales are some of the largest and most powerful animals in the ocean, and no other predator is able to challenge them.",https://www.discoverwildlife.com/animal-facts/marine-animals/facts-about-orcas/,"Orca guide: diet, how they hunt, and what they're related to"
can orcas live in freshwater,Are there orcas in Lake Superior?,"Note: no orcas in Lake Superior, so another breed.",https://northshorevisitor.com/activities/whale-watching/,Whale Watching | North Shore Visitor
can orcas live in freshwater,Could dolphins survive in the Great Lakes?,"For years people have talked about the legend of the great Loch Ness Monster Nessie, now there is talk of dolphins, whales and sharks swimming in Michigan lakes. Is it possible that these amazing animals could be dwelling in our waters? A very exciting thought, but the answer is no.",https://wkfr.com/do-our-great-lakes-have-dolphins-living-in-them/,Do Our Great Lakes Have Dolphins Living In Them? - 103.3 ...
can orcas live in freshwater,Are there sharks in Lake Superior?,"Though extremely rare, sharks have been spotted in fresh water areas before. As we know, Lake Superior is very cold especially this time of year.",https://upsupply.co/journal/shark-photographed-in-lake-superior,Shark photographed in Lake Superior - The Upper ...
can orcas live in freshwater,Can beluga whales live in freshwater?,Beluga whales live in Arctic waters and sometimes venture into freshwater rivers.,https://oceana.org/marine-life/beluga-whale/,Beluga Whale - Oceana
can orcas live in freshwater,Do whales get thirsty?,"The answer is: they do not drink water like land animals do, as they don't risk dehydration from the sun. This goes for all the marine mammals like whales, dolphins, seals etc. The way they get water is through their food.",https://oceanadventures.co.za/marine-animals-drink/,What does marine animals drink? - Ocean Blue Adventures
can orcas live in freshwater,What is the biggest fish in the Great Lakes?,"Musky or Muskellunge (Esox masquinongy)

Indeed, muskies are second only to sturgeons as the Great Lakes' largest fish. Individuals have weighed in at more than 100 pounds and exceeded six feet in length! The average adult size is an impressive 28-48 inches (0.7-1.2 m) long with a weight of 5-36 pounds (2 to 16kg).",https://www.shipwreckexplorers.com/great-lakes-fish/,Great Lakes Fish - Shipwreck Explorers
can orcas live in freshwater,What is the deepest point in Lake Superior?,"The deepest point in Lake Superior (about 40 miles north of Munising, Michigan) is 1,300 feet (400 meters) below the surface.",http://law2.umkc.edu/faculty/projects/ftrials/superior/superiorfacts.html,Lake Superior Facts - UMKC School of Law
can orcas live in freshwater,Whats the biggest fish in Lake Michigan?,The largest verified lake sturgeon on record was caught in Lake Michigan. It weighed 300 lbs. and was eight feet long.,https://www.mlive.com/entertainment/2017/06/12_wild_and_weird_facts_about.html,12 wild and weird facts about the largest fish you can catch ...
can orcas live in freshwater,Are pink river dolphins real?,"Facts. The Amazon river dolphin, also known as the pink river dolphin or boto, lives only in freshwater. It is found throughout much of the Amazon and Orinoco river basins in Bolivia, Brazil, Colombia, Ecuador, Guyana, Peru, and Venezuela.",https://www.worldwildlife.org/species/amazon-river-dolphin,Amazon River Dolphin (Pink Dolphins) | Species | WWF
can orcas live in freshwater,Are there freshwater dolphins in Lake Erie?,"After 240 Year Absence, Freshwater Dolphins Return to Lake Erie. In what many are calling one of the greatest triumphs of science and conservation in the history of the United States, freshwater dolphins returned this morning to the waters of the Lake Erie for the first time since 1791.",https://www.buffalo.org/freshwater-dolphin-lake-erie,Freshwater Dolphins Return to Lake Erie - Buffalo.org
can orcas live in freshwater,Are river dolphins real?,"It joins the ranks of the shark and the sea turtle as some of the oldest creatures on Earth. And while they're most commonly associated with oceans, dolphins—and porpoises—can actually be found in several major rivers on two continents. River dolphins act as indicators of river health in the basins where they live.",https://www.worldwildlife.org/stories/freshwater-dolphin-species-and-facts,Freshwater dolphin species and facts | Stories | WWF - ...
can orcas live in freshwater,Are whales in Lake Superior?,Every year there are reports of whales in Lake Superior. The reports are sightings sent by residents and visitors along the north shore of Lake Superior. Lake Superior isn't the only Michigan body of water to experience whale sightings.,https://wcsx.com/2019/04/01/video-whale-watching-on-the-great-lakes/,VIDEO: Whale Watching on the Great Lakes - 94.7 WCSX
can orcas live in freshwater,Are dolphins freshwater or saltwater?,"Most dolphins are marine and live in the ocean or brackish waters along coastlines. There are a few species, however, like the South Asian river dolphin and the Amazon river dolphin, or boto, that live in freshwater streams and rivers.",https://www.nationalgeographic.com/animals/mammals/facts/dolphins,Dolphin Facts - National Geographic
can orcas live in freshwater,Is there a 2 tusk narwhal?,"Some narwhals have up to two tusks, while others have none. The spiraled tusk juts from the head and can grow as long at 10 feet.",https://www.worldwildlife.org/stories/unicorn-of-the-sea-narwhal-facts,Unicorn of the Sea: Narwhal Facts | Stories - WWF
can orcas live in freshwater,Do orcas need water?,"Cetacean stranding often leads to death due to dehydration. Whales have an incredibly thick layer of insulating blubber. Without the water to keep them cool, they overheat and lose too much water via evaporation from their lungs.",https://www.sciencefocus.com/nature/why-do-beached-whales-die-so-often/,Why do beached whales die so often? - BBC Science ...
can orcas live in freshwater,Why do whales explode?,And as a whale has strong blubber a thick layer of vascularized fatty tissue under the already tough,https://www.youtube.com/watch?v=uUQjFupJ97I,Why Do Dead Whales Explode? | The Dr Binocs Show | ...
can orcas live in freshwater,Do beached whales explode?,"Whales can apparently hold in gasses, or the “death burp,” for long periods after they die, sometimes resulting in massive and extremely messy explosions.",https://www.theinertia.com/video/whale-carcass-explosion-caught-on-camera-in-california/,Whale Carcass Explosion Caught on Camera in California - ...
can orcas live in freshwater,Do orcas eat polar bears?,No killer whales do not eat polar bears. And so they do not go out looking for them and killing them,https://www.youtube.com/watch?v=2Kk8Z_oYGJQ,KILLER WHALE VS POLAR BEAR - Who is The Strongest .. ...
can orcas live in freshwater,Are orcas playful?,"Regardless of what they eat, killer whales of all ecotypes are renowned for their remarkably cohesive social structures, playful demeanor, strong familial ties, and curiosity.",https://www.wildorca.org/q_a/why-are-orcas-called-killer-whales-when-they-seem-so-friendly/,Why are Orcas called “Killer Whales” when they seem so ...
can orcas live in freshwater,What do you call a female orca?,"$125.00 / Adult - Book Now! Killer whales (Orcinus orca) live in matriarchal family groups, rarely dispersing away from their mothers. Male killer whales are called bulls, female killer whales are called cows, and baby killer whales are called calves.",https://www.sanjuanislandoutfitters.com/whale-watch-tours/about-orca-whales,Learn More About Orca Whales - San Juan Outfitters
can orcas live in freshwater,Can a beached whale be saved?,"The good news is that some of these whales do survive. If you spot a beached whale, call the local authorities immediately. Do not attempt to approach the whale on your own—you never know when that powerful tail will decide to thrash, or if they might carry diseases. Let the trained professionals lead the rescue.",https://www.panamajack.com/blog/behind-the-scenes-of-a-beached-whale-rescue/,Behind the Scenes of a Beached Whale Rescue - Panama ...
can orcas live in freshwater,Why do Orcas live in cold water?,Whales are warm blooded marine mammals that can tolerate cold water temperatures. Whales use blubber as an insulation layer to help maintain the energy and warmth when they dive to cool depths or travel to cold waters such as in Alaska. The blubber layer is a thick (6 inches) layer of fat that is found under the skin.,https://hilo.hawaii.edu/affiliates/prism/documents/Howdowhalesstaywarm.pdf,Big on Blubber: How do whales stay warm? Summary
can orcas live in freshwater,Do orcas eat dolphins?,"What do orcas eat? Looking at all populations, orcas are generalist eaters, consuming fish, seals and sea lions, dolphins and porpoises, sharks and rays, large whales, cephalopods (octopods and squids), seabirds and more.",https://us.whales.org/whales-dolphins/facts-about-orcas/,Facts about orcas (killer whales) - Whale & Dolphin ...
can orcas live in freshwater,What animal has no predator?,"Animals with no natural predators are called apex predators, because they sit at the top (or apex) of the food chain. The list is indefinite, but it includes lions, grizzly bears, crocodiles, giant constrictor snakes, wolves, sharks, electric eels, giant jellyfish, killer whales, polar bears, and arguably, humans.",https://www.toppr.com/ask/question/what-animals-have-no-natural-predators/,What animals have no natural predators? - Toppr
can orcas live in freshwater,What are orcas afraid of?,Iceland's Orcas Are Scared of Pilot Whales - The Atlantic.,https://www.theatlantic.com/science/archive/2021/09/killer-whales-vs-pilot-whales/620200/,Iceland's Orcas Are Scared of Pilot Whales - The Atlantic
can orcas live in freshwater,Who is the king of ocean?,"Orcas hunt marine mammals such as sea lions, seals, walruses and large whales. They even hunt the great white sharks. They are in fact apex predators, i.e. they have no natural predators of their own, except humans of course. Hence they are “kings of the ocean” and sit at the top of the food chain.",https://learnodo-newtonic.com/killer-whale-facts,Orca | 10 Interesting Facts About The King of The Ocean
can orcas live in freshwater,What is the biggest fish in Lake Superior?,Lake sturgeon are the largest fish in Lake Superior. They among the oldest fish in the lake too. Did you know that a lake sturgeon can live to be older than 100 years? This species of fish has also been around for a long time—about 150 million years.,https://wildernessclassroom.org/fish-lake-superior/,The Fish of Lake Superior - - Wilderness Classroom
can orcas live in freshwater,What lives at the bottom of Lake Superior?,"Additionally, the bottom of the lake is home to crayfish, shrimp, and other invertebrates. Plants such as algae and seaweed also grow in the depths. The lake bottom is a diverse and productive ecosystem that supports a wide range of plant and animal life. But it holds much more than that.",https://www.mortonsonthemove.com/bottom-of-lake-superior/,What's at the Bottom of Lake Superior? - Mortons on the Move
can orcas live in freshwater,Are there whales in Michigan lakes?,"It seems whale watching is becoming quite a thing here in northern Michigan. According to Great Lakes Whale Watching Charter Boat Site, ““The Great Lakes is a fantastic place to observe the annual whale migration.",https://www.mid-americantitle.com/local-news/whale-watching-northern-michigan,"Whale Watching In Northern Michigan, Yes It's Real - Mid ..."
can orcas live in freshwater,What is the biggest animal in Lake Erie?,"Lake sturgeon in the Great Lakes can reach lengths of 10-plus feet and approach 300 pounds. The largest fish taken from Lake Erie was caught by in 1929 and weighed 216 pounds. Young sturgeon like the ones just released are protected from predators by sharp, bony plates called scutes.",https://www.greatlakesnow.org/2019/10/lake-erie-sturgeon-release-population/,Lake Erie's Sturgeon Revival: Biggest fish makes its return ...
can orcas live in freshwater,Is the water in Lake Michigan saltwater?,"""There's a tremendous amount of salt going into the lake each year,"" said Dugan. ""But because of the volume of Lake Michigan, that concentration is still pretty low."" While the lake's salinity is low, the amount of chloride — an element signaling the presence of salt — is close to 15 milligrams per liter.",https://www.wpr.org/study-finds-more-1m-tons-salt-flowing-lake-michigan-each-year,Study finds more than 1M tons of salt is flowing into Lake ...
can orcas live in freshwater,Can a bottlenose dolphin live in freshwater?,"Some dolphin species have populations that live in fresh water, these include the tucuxi (or sotalia), Irrawaddy dolphin and finless porpoise. Other species, such as common bottlenose dolphins, may visit or inhabit estuaries of large rivers. Sometimes this results in them living close to cities.",https://us.whales.org/whales-dolphins/where-do-dolphins-live/,Where do dolphins live? - Whale & Dolphin Conservation USA
can orcas live in freshwater,Are there piranhas in the Great Lakes?,Some dangerous wildlife that have been reported near the Great Lakes Basin include: Piranhas – These fish have teeth that are fairly similar to that of a human. In July 2016 the Department of Natural Resources found a pacu in the Great Lakes.,https://a-z-animals.com/animals/location/ocean/great-lakes/,Wildlife in Great Lakes - AZ Animals
can orcas live in freshwater,Can a bull shark live in freshwater?,"Bull sharks are found in coastal waters all over the world. In the United States they are found off the East Coast and in the Gulf of Mexico. Unlike most sharks, bull sharks can survive in freshwater for long periods of time. They have even been found in the Mississippi and Amazon Rivers.",https://www.nwf.org/Educational-Resources/Wildlife-Guide/Fish/Bull-Shark,Bull Shark | National Wildlife Federation
can orcas live in freshwater,Can alligators live in the Great Lakes?,"Alligators are rarely found in the Great Lakes. Although some alligators thrive in freshwater, it's just too cold in the north for them to survive. They don't typically live farther north than North Carolina.",https://www.clickondetroit.com/all-about-michigan/2018/10/08/officials-nab-alligator-in-lake-michigan-no-seriously/,"Officials nab alligator in Lake Michigan -- no, seriously"
can orcas live in freshwater,Can you drown a whale?,"If the whale took in water through its blowhole while underwater, it could drown. In fact, there are cases of whales that became stuck in shallow water drowning because the water was shallow enough to prevent the whale from swimming but deep enough to cover the whale's blowhole and prevent it from breathing.",https://www.whalefacts.org/can-whales-drown/,Can Whales Drown? | Interesting Facts and Information
can orcas live in freshwater,Can sea creatures live in freshwater?,Saltwater fish can't survive in freshwater because their bodies are highly concentrated of salt solution (too much for freshwater). The water would flow into their body until all their cells accumulate so much water that they bloat and die eventually.,https://www.divescotty.com/underwater-blog/why-saltwater-fish-cannot-live-in-freshwater-and-vice-versa.php,Why can't saltwater fish live in freshwater and vice versa?
can orcas live in freshwater,Do whales pee?,"When it comes to pee production, whales are world champs. A single fin whale is thought to produce around 1,000 liters (260 gallons) of urine each day — enough to fill a 10-by-6-foot kiddie pool. Whales combine their champion urination with deep dives and long migrations.",https://oceana.org/blog/special-ingredient-ocean-health-animal-pee-and-lots-it/,"The special ingredient for ocean health? Animal pee, and ..."
can orcas live in freshwater,Can sea lions live in freshwater?,"At night or in cool weather, they travel farther inland or to higher elevations. Non-breeding individuals may gather at marinas, wharves, or even navigational buoys. California sea lions can also live in fresh water for periods of time, such as near Bonneville Dam, nearly 150 miles (240 km) up the Columbia River.",https://en.wikipedia.org/wiki/California_sea_lion,California sea lion - Wikipedia
can orcas live in freshwater,How do whales sleep without drowning?,"To avoid drowning during sleep, it is crucial that marine mammals retain control of their blowhole. The blowhole is a flap of skin that is thought to open and close under the voluntary control of the animal.",https://www.scientificamerican.com/article/how-do-whales-and-dolphin/,How do Whales and Dolphins Sleep Without Drowning?
can orcas live in freshwater,Are whales friendly?,"From a historical perspective, whales do appear to be non-aggressive. Their relatives, the dolphin's species, tend to be very friendly and curious towards humans, often displaying a desire to greet and meet people.",https://www.whalefacts.org/are-whales-friendly/,"Are Whales Friendly to Humans? Personality, Media and ..."
can orcas live in freshwater,Do sharks live in Great Lakes?,"Sharks generally do not live in the Great Lakes. Sharks do not live in the Great Lakes, but many fishes are mostly drawn to this water body as their natural habitat.",https://a-z-animals.com/blog/do-sharks-live-in-the-great-lakes/,Do Sharks Live in the Great Lakes? - AZ Animals
can orcas live in freshwater,What is the biggest predator in Lake Michigan?,"Invasive sea lamprey, the Great Lakes' biggest predator, primarily feed on lake trout, one of the lakes' most prized sports fish.",https://www.freep.com/story/news/local/michigan/2020/09/25/invasive-sea-lampreys-trout-great-lakes/3523358001/,Invasive sea lampreys in Great Lakes puzzle scientists - ...
can orcas live in freshwater,How deep is Lake Michigan?,"Lake Superior is the largest, cleanest, and wildest of all the Great Lakes.",https://greatlakes.guide/watersheds/superior,Lake Superior | Great Lakes Guide
can orcas live in freshwater,What Great Lake is the cleanest?,"The Depth of the Great Lakes, Compared

Lake Superior emerges, well, superior in terms of total surface area, water volume, and both average and maximum depth. Lake Erie is by far the shallowest of the lakes, with an average depth of just 19 meters (62 ft).",https://www.visualcapitalist.com/visualized-the-depth-of-the-great-lakes/,Visualized: Measuring the Depth of the Great Lakes - Visual ...
can orcas live in freshwater,What is the shallowest Great Lake?,"As we determined this past week with several arduous dives, the caves lead to a vast underground lake. This is undoubtedly Sir Duluth's 'Lac d'Enfer,' and the same lake which swallowed poor William Bitter in 1870.",https://www.perfectduluthday.com/2021/05/08/lake-inferior-the-underground-lake-beneath-lake-superior/,Lake Inferior: The Underground Lake Beneath Lake Superior
can orcas live in freshwater,Is there an underground lake under Lake Superior?,"Also called rock sturgeon, this freshwater fish is the oldest and largest native species in the Great Lakes. These huge fish can measure six and a half feet (two meters) long and weigh close to 200 pounds (90 kilograms). Instead of scales, the lake sturgeon has coarse skin.",https://www.nwf.org/Educational-Resources/Wildlife-Guide/Fish/Lake-Sturgeon,Lake Sturgeon | National Wildlife Federation
can orcas live in freshwater,Are sturgeons freshwater?,"The lake sturgeon occurs in the Mississippi, Lake Michigan, and Lake Superior drainage basins. In the Lake Michigan basin, it occurs in Green Bay, Lake Michigan, the Menominee River upstream to the White Rapids Dam, the Fox River upstream to Lake Puckaway, and the Wolf River upstream to Shawano.",https://dnr.wisconsin.gov/topic/Fishing/lakemichigan/LakeSturgeon.html,Lake Michigan Lake Sturgeon Rehabilitation | Fishing ...
can orcas live in freshwater,Are there sturgeon in Lake Michigan?,"Lacey Mason of the Great Lakes Environmental Laboratory in Ann Arbor, Michigan informed us that the deepest part of Lake Michigan is about 925 feet, and is located in the Chippewa Basin which is about 36 miles east of Forestville, Wisconsin on the Door Peninsula.",https://wgntv.com/weather/where-is-the-deepest-part-of-lake-michigan-and-what-is-the-water-temperature/,Where is the deepest part of Lake Michigan and what is the ...
